id,phase,area,type,plan_source,expected,observed,status,impact,priority,evidence_path,evidence_lines,followup
P1.API.ENDPOINT.005,P1,API,endpoint,Updated_Project_Plan_2.txt::1.2 Blueprint & plan endpoints,"Update PlanNode fields such as title, summary, kind, status, priority, order_index, estimate_points, risk_level, extra_metadata.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P1.API.ENDPOINT.006,P1,API,endpoint,Updated_Project_Plan_2.txt::1.2 Blueprint & plan endpoints,"Generate or regenerate PlanNode tree from blueprint document, optionally track BlueprintIngestionJob.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P1.API.ENDPOINT.007,P1,API,endpoint,Updated_Project_Plan_2.txt::1.4 PlanNode → Tasks,Generate tasks for a PlanNode using LLM and link via PlanNodeTaskLink.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P1.API.ENDPOINT.008,P1,API,endpoint,Updated_Project_Plan_2.txt::1.4 PlanNode → Tasks,Generate tasks for all feature/story nodes in a blueprint (heavy option).,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P1.API.ENDPOINT.009,P1,API,endpoint,Updated_Project_Plan_2.txt::1.2 Blueprint & plan endpoints,Compare blueprint to its parent and mark changed nodes in metadata.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P1.SERVICE.BLUEPRINT.001,P1,SERVICE,service,Updated_Project_Plan_2.txt::1.3 Ingestion pipeline,"services/blueprints.py chunk→outline→merge flow to create PlanNodes with offsets, anchors, order_index, error handling.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P1.SERVICE.BLUEPRINT.002,P1,SERVICE,service,Updated_Project_Plan_2.txt::1.4 PlanNode → Tasks,"generate_tasks_for_plan_node creates tasks with metadata, links, dependencies from LLM output.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P1.UI.PLAN.001,P1,UI,ui,Updated_Project_Plan_2.txt::1.5 Frontend – Blueprint & Plan view,Tasks tab shows blueprint selector and nested Plan tree with status/priority chips and doc snippets.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P1.UI.PLAN.002,P1,UI,ui,Updated_Project_Plan_2.txt::1.5 Frontend – Blueprint & Plan view,UI actions to trigger POST /plan_nodes/{id}/generate_tasks and set active phase on phase nodes.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P2.DATA.MODEL.001,P2,DATA,model,Updated_Project_Plan_2.txt::2.1 Conversation summaries,"conversation_summaries table with conversation_id unique FK, short_summary, detail_summary, last_message_id, updated_at.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P2.DATA.MODEL.002,P2,DATA,model,Updated_Project_Plan_2.txt::2.2 ProjectSnapshot,"project_snapshots table with project_id unique FK, summary_text, active_phase_node_id, key_metrics_json, updated_at.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P2.SERVICE.CONVO.001,P2,SERVICE,service,Updated_Project_Plan_2.txt::2.1 Conversation summaries,update_conversation_summary that rolls summaries after N messages using fast/deep model.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P2.SERVICE.SNAPSHOT.001,P2,SERVICE,service,Updated_Project_Plan_2.txt::2.2 ProjectSnapshot,refresh_project_snapshot builds summary doc + ProjectSnapshot and exposes POST /projects/{id}/snapshot/refresh.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P2.SERVICE.CONTEXT.001,P2,SERVICE,service,Updated_Project_Plan_2.txt::2.3 ContextBuilder,"context_builder.py with dataclasses (PlanNodeContext, TaskContext, etc.) selecting plan/tasks/decisions/memory for chat.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P2.SERVICE.ALIGN.001,P2,SERVICE,service,Updated_Project_Plan_2.txt::2.4 Alignment helper,services/alignment.py to score file edits/terminal commands with snapshot/plan/decisions context and return alignment JSON.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P2.UI.SNAPSHOT.001,P2,UI,ui,Updated_Project_Plan_2.txt::2.2 ProjectSnapshot Frontend,Docs tab pins snapshot doc; Notes tab shows snapshot card with status/metrics.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P3.DATA.MODEL.001,P3,DATA,model,Updated_Project_Plan_2_Phase3_4.txt::3.1 Backend models for runs,"execution_runs with project/task/conversation FKs, run_type, status, started_by, meta, touched_files_json, timestamps, indexes.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P3.DATA.MODEL.002,P3,DATA,model,Updated_Project_Plan_2_Phase3_4.txt::3.1 Backend models for runs,"execution_steps with run FK, order_index, actor, tool, input/output payloads, status, rollback_data, timestamps, index.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P3.API.ENDPOINT.001,P3,API,endpoint,Updated_Project_Plan_2_Phase3_4.txt::3.4 Endpoints,Create ExecutionRun with validation of project/task and status planned.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P3.API.ENDPOINT.002,P3,API,endpoint,Updated_Project_Plan_2_Phase3_4.txt::3.4 Endpoints,List runs for project with optional status filter (open/all).,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P3.API.ENDPOINT.003,P3,API,endpoint,Updated_Project_Plan_2_Phase3_4.txt::3.4 Endpoints,Fetch run with ordered steps.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P3.API.ENDPOINT.004,P3,API,endpoint,Updated_Project_Plan_2_Phase3_4.txt::3.4 Endpoints,Advance run with approval=approve|skip|abort and execute next step via worker wrappers.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P3.API.ENDPOINT.005,P3,API,endpoint,Updated_Project_Plan_2_Phase3_4.txt::3.4 Endpoints,Rollback touched files using rollback_data and mark run aborted.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P3.SERVICE.RUNS.001,P3,SERVICE,service,Updated_Project_Plan_2_Phase3_4.txt::3.2 Backend run orchestration,"services/runs.py with create_run, append_step, get_next_pending_step, mark_step_status, mark_run_status, rollback_run.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P3.LLM.TOOLS.001,P3,LLM,service,Updated_Project_Plan_2_Phase3_4.txt::3.3 LLM tool-calling,openai_client tool definitions for read_file/write_file/run_terminal/search_docs/search_messages and run_agent_with_tools mapping tool calls to ExecutionSteps.,LLM file tool routes differ: backend exposes /projects/{id}/fs/read and /fs/write; plan expects /projects/{id}/files/content and /files/apply_edit with matching semantics. No alias routes found.,Misaligned,Agent tool routing mismatch; workers cannot call planned endpoints,P1,backend/app/api/main.py,3313-3405,Implement per updated plan
P3.SERVICE.WORKER.001,P3,SERVICE,service,Updated_Project_Plan_2_Phase3_4.txt::3.3 Worker roles module,services/workers.py with run_code_worker/test_worker/doc_worker using role-specific prompts and allowed tools.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P3.SAFETY.DIFF.001,P3,SAFETY,safety,Updated_Project_Plan_2_Phase3_4.txt::3.5 Diffs & rollback details,Before write_file capture original content/diff into ExecutionStep.output_payload and touched_files_json with rollback_data.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P3.SAFETY.TERM.001,P3,SAFETY,safety,Updated_Project_Plan_2_Phase3_4.txt::3.6 Command safety allowlist,"SAFE_COMMAND_PREFIXES and FORBIDDEN_SUBSTRINGS enforced for run_terminal steps, gating approvals in semi/full auto.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P3.UI.RUNS.001,P3,UI,ui,Updated_Project_Plan_2_Phase3_4.txt::3.6 Frontend: Runs panel & step UI,"Runs tab/panel listing runs and steps with status, alignment badge, approvals (approve/skip/abort) and diff viewer.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P4.DATA.MODEL.001,P4,DATA,model,Updated_Project_Plan_2.txt::3.1 Models (Phase 3/4 carry-over) and 4.1 Project autonomy settings,"Project fields: autonomy_mode, active_phase_node_id, autopilot_paused, max_parallel_runs.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P4.SERVICE.INTENT.001,P4,SERVICE,service,Updated_Project_Plan_2.txt::4.2 Intent classifier,intent_classifier.py classify_intent using model alias intent; integrated in chat endpoint before Manager handling.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P4.SERVICE.MANAGER.001,P4,SERVICE,service,Updated_Project_Plan_2.txt::4.3 ManagerAgent,"ManagerAgent class handling start/continue runs, choose tasks, advance runs, explain_plan with heuristics and safety/autonomy rules.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P4.API.ENDPOINT.001,P4,API,endpoint,Updated_Project_Plan_2.txt::4.4 Autopilot tick endpoint,Autopilot heartbeat endpoint that is idempotent and safe; uses ManagerAgent to start/advance runs or return waiting status.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P4.API.ENDPOINT.002,P4,API,endpoint,Updated_Project_Plan_2.txt::4.3 Manager explain_plan,Explain current plan/next tasks/runs for UI consumption.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P4.UI.AUTOPILOT.001,P4,UI,ui,Updated_Project_Plan_2.txt::4.5 Frontend heartbeat & controls,"UI dropdown for autonomy mode, pause/resume, status pill, heartbeat polling every 30–60s calling /autopilot_tick, with toasts/badges.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P4.LEARN.MODEL.001,P4,LEARN,model,Updated_Project_Plan_2_AUTOPILOT_LEARNING.txt::1.1 Task learning fields,"Task fields: difficulty_score, rework_count, planned_phase_node_id, actual_phase_node_id, actual_started_at/completed_at.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P4.LEARN.MODEL.002,P4,LEARN,model,Updated_Project_Plan_2_AUTOPILOT_LEARNING.txt::1.2 PlanNode learning fields,"PlanNode learned_priority, learned_risk_level, inferred_dependency_json.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P4.LEARN.MODEL.003,P4,LEARN,model,Updated_Project_Plan_2_AUTOPILOT_LEARNING.txt::1.3 ExecutionRun learning fields,ExecutionRun outcome and learning_notes fields populated after runs.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P4.LEARN.SERVICE.001,P4,LEARN,service,Updated_Project_Plan_2_AUTOPILOT_LEARNING.txt::2.1 Blueprint Understanding Pipeline,services/blueprint_understanding.py producing architecture/foundations/sequence docs and annotating PlanNodes with learned fields.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P4.LEARN.SERVICE.002,P4,LEARN,service,Updated_Project_Plan_2_AUTOPILOT_LEARNING.txt::3 Run-Time Learning & 3.2 Periodic retrospectives,ManagerAgent.record_run_outcome and periodic_retrospective/refine_plan methods updating learned fields and tasks.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P4.LEARN.API.001,P4,LEARN,endpoint,Updated_Project_Plan_2_AUTOPILOT_LEARNING.txt::4.1 API: refine_plan,Endpoint invoking ManagerAgent.refine_plan to adjust ordering/priorities using learning signals.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P4.LEARN.API.002,P4,LEARN,endpoint,Updated_Project_Plan_2_AUTOPILOT_LEARNING.txt::5.1 Backend metrics endpoint,"Endpoint returning learning metrics (cycle time, difficulty, fragile areas, plan deviation, blocked tasks).",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P4.LEARN.UI.001,P4,LEARN,ui,Updated_Project_Plan_2_AUTOPILOT_LEARNING.txt::5.3 Frontend surfaces,UI card showing learning_metrics and button to call refine_plan.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
PT.INGEST.EMBED.001,PT,INGEST,service,Updated_Project_Plan_2_Ingestion_Plan.txt::T1.1 Centralized batched embeddings helper,Centralized embeddings batching respecting MAX_EMBED_TOKENS_PER_BATCH and MAX_EMBED_ITEMS_PER_BATCH using embed_batch wrapper.,embed_texts_batched implements batching with token/item caps and env overrides for embedding model.,Correct,Supports Phase T ingestion batching,P2,backend/app/llm/embeddings.py,92-165,
PT.INGEST.MODEL.001,PT,INGEST,model,Updated_Project_Plan_2_Ingestion_Plan.txt::T1.2 IngestionJob model for resumable ingestion,IngestionJob with progress fields plus POST/GET endpoints for project-scoped ingestion jobs and cancel.,IngestionJob model plus project-scoped ingestion job endpoints (create/list/cancel) implemented.,Correct,Enables resumable ingestion jobs,P2,backend/app/db/models.py,422-470,
PT.INGEST.MODEL.002,PT,INGEST,model,Updated_Project_Plan_2_Ingestion_Plan.txt::T2.2 Hash-based incremental ingestion,file_ingestion_state table tracking sha256 per project/path for incremental re-ingestion.,file_ingestion_state table exists with project/path unique constraint and sha256 tracking.,Correct,Supports incremental ingestion,P2,backend/app/db/models.py,451-470,
PT.INGEST.MODEL.003,PT,INGEST,model,Updated_Project_Plan_2_Ingestion_Plan.txt::T3.1 BlueprintSection summaries,BlueprintSectionSummary per PlanNode with short_summary and detailed_summary updated during plan generation.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
PT.INGEST.API.001,PT,INGEST,endpoint,Updated_Project_Plan_2_Ingestion_Plan.txt::T4.2 Code workers: windowed file reads,Filesystem read endpoint supports start_line/end_line to allow windowed reads for workers.,read_project_file exists but only returns full file; no start_line/end_line windowing support.,Misaligned,Token usage risk for workers,P1,backend/app/api/main.py,3313-3351,Implement per updated plan
PT.INGEST.BUDGET.001,PT,INGEST,env,Updated_Project_Plan_2_Ingestion_Plan.txt::T5.1 Budget knobs in config,"CONFIG_ENV and backend honor MAX_EMBED_TOKENS_PER_BATCH, MAX_EMBED_ITEMS_PER_BATCH, MAX_CONTEXT_TOKENS_PER_CALL, AUTOPILOT_MAX_TOKENS_PER_RUN.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
PM.MATRIX.ROLE.001,PM,MATRIX,env,Updated_Project_Plan_2_Model_Matrix.txt::1.1 Core env vars & 1.2 defaults,Env vars OPENAI_MODEL_SUMMARY/SNAPSHOT/BLUEPRINT/PLAN_TASKS/MANAGER/WORKER_CODE/WORKER_TEST/WORKER_DOC/ALIGNMENT/INTENT/RESEARCH_DEEP defined.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
PM.MATRIX.ROLE.002,PM,MATRIX,service,Updated_Project_Plan_2_Model_Matrix.txt::4.1 Role → env → model resolution,openai_client implements _ROLE_ENV_VARS/_ROLE_DEFAULT_MODELS and get_model_for_role(role).,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
PM.MATRIX.ROLE.003,PM,MATRIX,service,Updated_Project_Plan_2_Model_Matrix.txt::4.2 Calling helper & 3.x subsystem wiring,Subsystems call call_model_for_role for manager/workers/blueprint/plan_tasks/summary/snapshot/alignment/intent.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
PM.MATRIX.EMBED.001,PM,MATRIX,env,Updated_Project_Plan_2_Model_Matrix.txt::5.1 Embedding model,get_embedding_model uses OPENAI_EMBEDDING_MODEL default text-embedding-3-small across ingestion/search/memory/blueprints.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
PS.SAFETY.FS.001,PS,SAFETY,safety,Updated_Project_Plan_2_AUTOPILOT_LIMITATIONS.txt::3.1 Filesystem safety,All file ops normalized and confined to project local_root_path (no path escape).,Filesystem helpers use _safe_join to confine paths under project local_root_path and enforce relative paths.,Correct,Safety control in place,P2,backend/app/api/main.py,685-706,
PS.SAFETY.TERM.001,PS,SAFETY,safety,Updated_Project_Plan_2_AUTOPILOT_LIMITATIONS.txt::3.2 Terminal safety,Terminal commands auto-run only from safe prefixes; forbidden substrings rm/del/git push/format/shutdown/reboot etc.,run_terminal endpoints execute arbitrary commands with subprocess.run and no allowlist/forbidden checks.,Misaligned,Safety gap for terminal execution,P0,backend/app/api/main.py,3753-3838,Implement per updated plan
PS.SAFETY.APPROVAL.001,PS,SAFETY,safety,Updated_Project_Plan_2_AUTOPILOT_LIMITATIONS.txt::3.3 Approval gates,"Suggest: everything needs approval; Semi: safe reads/tests auto, writes/unsafe commands need approval; Full: auto except forbidden commands; rollback available.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
PD.DOCS.001,PD,DOCS,docs,Updated_Project_Plan_2.txt::5.2 Docs to update,"SYSTEM_OVERVIEW, SYSTEM_MATRIX, API_REFERENCE, USER_MANUAL, DEV_GUIDE, AGENT_GUIDE, OPERATIONS_RUNBOOK, TEST_PLAN updated for blueprint/runs/autopilot.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
PD.QA.001,PD,QA,tests,Updated_Project_Plan_2.txt::5.3 QA & smoke tests,"qa/blueprints_probe.py, qa/runs_autopilot_probe.py and smoke coverage added; TEST_PLAN scenarios H-Blueprint-01, H-Autopilot-01/02.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
